acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,liked
0.0589,0.835,0.626,6e-05,0.396,-5.833,0.125,0.4702823048855722
0.172,0.635,0.902,0,0.125,-3.559,0.109,0.5626154014931339
0.0114,0.901,0.522,0,0.259,-8.304,0.33,0.5896954897874638
0.374,0.693,0.575,0,0.252,-6.998,0.0801,0.5993265597315003
0.307,0.772,0.732,5.14e-06,0.106,-3.713,0.213,0.5467183581816523
0.934,0.351,0.296,0,0.095,-10.109,0.0333,0.4882262738548129
0.0169,0.596,0.854,0,0.124,-5.114,0.463,0.5481039550366913
0.0236,0.884,0.559,0,0.101,-7.442,0.12,0.4988736201751657
0.172,0.492,0.676,0,0.239,-6.861,0.0516,0.41104742971458097
0.0969,0.574,0.758,0,0.395,-5.029,0.0621,0.5717675579442872
0.193,0.579,0.904,0,0.064,-2.729,0.0618,0.4663561898291905
0.0475,0.559,0.868,0.000176,0.776,-5.276,0.17,0.43011531890662036
